,Feed_name
0,wheat
1,treated rye
2,bran
3,osem
4,ready mix
5,dry material
6,coarse cellulose
7,wet material
8,metabolic energy
9,general protein
10,neutral detergent fiber
11,calcium
12,residual protein
13,kernels
14,rumen degradable protein
15,dry coarse
16,ash
17,gluten feed ADM
18,corn
19,corn straw
20,fat
21,net energy
22,salt
23,carbohydrates
24,A vitamin
25,wheat silage
26,sorghum silage
27,acid detergent fiber
28,phosphorus
29,general cellulose
30,cottonseed meal
31,treated cottonseed meal
32,treated wheat
33,cotton byproduct
34,barley
35,corn silage
36,grain hay
37,pea straw
38,sunflower cake
39,yeast XP
40,cotton straw
41,buffer value
42,income of milk
43,wheat straw
44,Corn gluten feed
45,Canola oilseed meal
46,peanut hay
47,treated barley
48,DDGS
49,straw
50,starch
51,frozen corn byproduct
52,coarse feed
53,water
